#PT eta phi vx vy vz charge
3.41624 0.00986652 -0.72923 -0.00200753 0.000980133 -10.4245 1
8.54395 0.0678025 -0.718672 0.000596021 -0.000362349 -10.2926 -1
3.32614 0.108854 -0.774278 -0.000542455 -0.000275312 -10.3661 1
4.76862 0.0287951 -0.6945 -0.00284661 0.00032844 -10.2029 1
4.92911 -0.811234 -0.773033 0.000991357 -0.000163402 10.0844 -1
9.99095 0.130581 -0.742101 -0.00159624 -0.0012833 -12.8316 1
5.82 -0.832094 -0.644898 0.00185207 -0.000136112 11.6073 1
2.08346 0.10136 -1.01837 -0.00316667 -0.000456875 -12.2928 -1
2.35704 -0.890525 -0.709103 -0.00250982 0.000276533 12.0383 1
4.24759 0.0377947 -0.741147 0.000438065 8.86335e-05 -10.1995 1
2.95114 0.0450591 -0.635593 0.00341514 0.000621349 -11.4788 1
2.49423 -0.780089 -0.821203 -0.00196056 0.000374395 10.0034 -1
2.94153 -0.879525 -0.960612 0.000239992 0.001457 11.5745 1
2.22769 0.194916 -0.885746 -0.000565858 0.00170193 -12.8837 1
2.7726 0.198535 -0.588188 0.000755068 -0.00078136 -12.3162 1
75.406 -0.785428 -0.639659 0.00115802 -0.000989604 11.2421 -1
15.6153 0.0729901 -0.966451 -0.00184241 0.000455916 -11.3051 1
9.20974 0.0259234 -0.638518 0.000116288 -0.000606627 -10.2685 -1
3.21967 -0.714021 -0.66147 -0.00218159 -0.00070481 10.1987 1
3.94277 -0.781352 -0.845153 -0.000110553 0.00107232 10.8819 1
5.56876 -0.779312 -0.878449 -0.000969182 -0.000750262 10.0424 1
2.56357 -0.930415 -0.775007 -0.000806122 -0.000130443 13.5756 -1
2.04887 0.17803 -0.757485 0.00132271 0.000208648 -11.268 1
5.93517 -0.900075 -0.877118 0.00246124 -0.000403837 12.5514 1
55.6092 0.0397204 -0.763313 -0.00315043 4.21658e-05 -11.0078 -1
17.6315 -0.75548 -0.860853 0.00289864 -0.00119018 10.0248 1
2.18056 0.127533 -0.844064 -0.00098926 0.0003402 -10.3401 1
183.216 -0.759448 -0.770496 0.00303629 0.000769235 10.5608 -1
42.0141 -0.84611 -0.903272 7.93359e-05 0.000927046 10.5254 1
2.25183 -0.843838 -0.723612 -0.00105188 0.000113249 10.5042 -1
3.38257 0.113733 -0.749607 -0.000274018 0.000369409 -10.2202 1
3.55691 0.269976 -0.587105 -0.00200029 -0.000672343 -14.9632 1
8.5164 0.157484 -0.678461 -0.00219133 -0.000287737 -10.7923 1
8.70719 0.234555 -0.786899 -0.00124537 7.01798e-05 -12.7601 -1
3.2561 -0.731802 -0.700931 0.00298535 0.0010984 11.0273 -1
5.17255 0.150355 -0.840844 0.000455139 0.000381212 -11.8687 1
19.1517 -0.716798 -0.835897 0.00328787 0.000539421 10.3838 1
2.4302 -0.852898 -0.613566 0.00198292 0.000140655 12.7308 1
4.632 0.152322 -0.789263 -0.00237172 5.52138e-05 -10.9083 -1
2.74317 0.0663491 -0.942977 -0.00170791 0.000282058 -10.8547 -1
2.06979 -0.815553 -0.767848 0.00299697 0.000433154 13.0799 1
3.21399 0.143774 -0.669114 -0.00349162 -5.28327e-05 -11.0563 -1
49.9535 -0.801378 -0.968555 0.00162575 0.000252807 11.6862 -1
15.3972 0.261035 -0.897684 0.0023464 0.000205022 -13.4822 1
2.80745 -0.721672 -0.782844 0.000519729 0.000904268 10.4815 1
3.44994 0.0239991 -0.676052 0.00293081 0.00163488 -10.1055 -1
2.21137 0.0603427 -0.742185 -0.000672552 5.02405e-05 -10.6575 1
14.4889 0.186965 -0.846896 -0.0025507 0.000720113 -11.8064 -1
3.56681 0.132873 -0.807082 -0.00261023 -0.000559097 -12.2616 1
2.26891 -0.790469 -0.577493 0.000728485 -0.000388049 10.3503 1
2.8966 0.176843 -0.870399 -0.00247981 0.000428773 -11.6307 -1
6.1629 -0.816397 -0.782539 0.00129966 -0.000183018 10.1344 -1
3.04506 -0.812583 -0.926396 0.00214377 0.000283079 10.2425 1
2.69507 -0.826507 -0.654779 0.000634371 -0.000584513 12.2806 1
21.4725 0.0924989 -0.815222 -0.00157067 0.0002712 -11.3214 1
2.6226 0.211115 -0.917687 0.000283616 0.000421827 -11.4632 1
4.18811 -0.78423 -0.746345 0.00154385 -0.000158149 11.1542 -1
