tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
31,8,-2.424320,-1.502671,-9.5318,59.4103
31,9,-2.484585,-1.468914,-9.5318,78.7372
31,10,-2.523145,-1.363300,-9.5318,88.9935
32,5,-1.791765,-0.564430,10.6558,57.1481
32,6,-1.710419,-0.653554,19.7377,83.2006
32,7,-1.756567,-0.641981,34.4563,115.0000
32,8,-1.638922,-0.717273,49.3603,116.9440
32,9,-1.673851,-0.658179,59.5413,116.9440
32,10,-1.778293,-0.618448,78.9435,116.9440
32,11,-1.178097,1.066726,60.2304,110.0950
32,12,-1.178097,1.066726,67.2072,110.0950
32,13,-1.178097,1.066726,83.9403,110.0950
32,14,-1.178097,1.066726,100.0545,110.0950
33,5,-1.006367,0.220969,10.6558,57.1481
33,6,-0.917242,0.139623,19.7377,83.2006
33,7,-0.836416,0.097218,34.4563,115.0000
33,8,-0.853524,0.068125,49.3603,116.9440
33,9,-0.963287,0.152554,59.5413,116.9440
33,10,-0.951558,0.208287,78.9435,116.9440
33,11,-0.392699,1.852124,60.2304,110.0950
33,12,-0.392699,1.852124,67.2072,110.0950
33,13,-0.392699,1.852124,83.9403,110.0950
33,14,-0.392699,1.852124,100.0545,110.0950
34,5,-0.220969,1.006367,10.6558,57.1481
34,6,-0.139623,0.917242,19.7377,83.2006
34,7,-0.097218,0.836416,34.4563,115.0000
34,8,-0.068125,0.853524,49.3603,116.9440
34,9,-0.152554,0.963287,59.5413,116.9440
34,10,-0.208287,0.951558,78.9435,116.9440
34,11,0.392699,2.637522,60.2304,110.0950
34,12,0.392699,2.637522,67.2072,110.0950
34,13,0.392699,2.637522,83.9403,110.0950
34,14,0.392699,2.637522,100.0545,110.0950
35,5,0.564430,1.791765,10.6558,57.1481
35,6,0.653554,1.710419,19.7377,83.2006
35,7,0.641981,1.756567,34.4563,115.0000
35,8,0.717273,1.638922,49.3603,116.9440
35,9,0.658179,1.673851,59.5413,116.9440
35,10,0.618448,1.778293,78.9435,116.9440
35,11,1.178097,-2.860265,60.2305,110.0950
35,12,1.178097,-2.860265,67.2072,110.0950
35,13,1.178097,-2.860265,83.9404,110.0950
35,14,1.178097,-2.860265,100.0545,110.0950
36,5,1.349827,2.577163,10.6558,57.1481
36,6,1.431173,2.488038,19.7377,83.2006
36,7,1.381178,2.495765,34.4563,115.0000
36,8,1.502671,2.424320,49.3603,116.9440
36,9,1.468914,2.484585,59.5413,116.9440
36,10,1.363300,2.523145,78.9435,116.9440
36,11,1.963495,-2.074867,60.2304,110.0950
36,12,1.963495,-2.074867,67.2072,110.0950
36,13,1.963495,-2.074867,83.9403,110.0950
36,14,1.963495,-2.074867,100.0545,110.0950
37,5,2.135226,-2.920624,10.6558,57.1481
37,6,2.224351,-3.001970,19.7377,83.2006
37,7,2.309022,-3.048221,34.4563,115.0000
37,8,2.288069,-3.073467,49.3603,116.9440
37,9,2.279647,-2.987867,59.5413,116.9440
37,10,2.190035,-2.933305,78.9435,116.9440
37,11,2.748894,-1.289468,60.2304,110.0950
37,12,2.748894,-1.289468,67.2072,110.0950
37,13,2.748894,-1.289468,83.9403,110.0950
37,14,2.748894,-1.289468,100.0545,110.0950
38,5,2.920624,-2.135226,10.6558,57.1481
38,6,3.001970,-2.224351,19.7377,83.2006
38,7,3.048221,-2.309022,34.4563,115.0000
38,8,3.073467,-2.288069,49.3603,116.9440
38,9,2.987867,-2.279647,59.5413,116.9440
38,10,2.933305,-2.190035,78.9435,116.9440
38,11,-2.748894,-0.504071,60.2304,110.0950
38,12,-2.748894,-0.504071,67.2072,110.0950
38,13,-2.748894,-0.504071,83.9403,110.0950
38,14,-2.748894,-0.504071,100.0545,110.0950
39,5,-2.577163,-1.349827,10.6558,57.1481
39,6,-2.488038,-1.431173,19.7377,83.2006
39,7,-2.495765,-1.381178,34.4563,115.0000
39,8,-2.424320,-1.502671,49.3603,116.9440
39,9,-2.484585,-1.468914,59.5413,116.9440
39,10,-2.523145,-1.363300,78.9435,116.9440
39,11,-1.963495,0.281328,60.2305,110.0950
39,12,-1.963495,0.281328,67.2072,110.0950
39,13,-1.963495,0.281328,83.9404,110.0950
39,14,-1.963495,0.281328,100.0545,110.0950
40,5,-1.791765,-0.564430,35.1077,115.0000
40,6,-1.710419,-0.653554,62.1864,115.0000
40,7,-1.756567,-0.641981,93.9064,115.0000
40,11,-1.178097,1.449672,25.0206,70.2557
40,12,-1.178097,1.269434,32.6742,87.7541
40,13,-1.178097,1.154080,37.3960,93.9771
40,14,-1.178097,1.154080,44.9935,110.0950
40,15,-1.178097,1.066726,55.2653,110.0950
41,5,-1.006367,0.220969,35.1077,115.0000
41,6,-0.917242,0.139623,62.1864,115.0000
41,7,-0.836416,0.097218,93.9064,115.0000
41,11,-0.392699,2.167033,25.0206,70.2557
41,12,-0.392699,2.167033,32.6741,87.7541
41,13,-0.392699,1.923903,37.3960,93.9771
41,14,-0.392699,1.852211,44.9935,110.0950
41,15,-0.392699,1.852124,55.2653,110.0950
42,5,-0.220969,1.006367,35.1077,115.0000
42,6,-0.139623,0.917242,62.1864,115.0000
42,7,-0.097218,0.836416,93.9064,115.0000
42,11,0.392699,3.020468,25.0206,70.2557
42,12,0.392699,2.840231,32.6742,87.7541
42,13,0.392699,2.821501,37.3960,93.9771
42,14,0.392699,2.719636,44.9936,110.0950
42,15,0.392699,2.637522,55.2653,110.0950
43,5,0.564430,1.791765,35.1077,115.0000
43,6,0.653554,1.710419,62.1864,115.0000
43,7,0.641981,1.756567,93.9064,115.0000
43,11,1.178097,-2.545356,25.0206,70.2557
43,12,1.178097,-2.545356,32.6742,87.7541
43,13,1.178097,-2.825133,37.3960,93.9771
43,14,1.178097,-2.860265,44.9936,110.0950
43,15,1.178097,-2.860265,55.2653,110.0950
44,5,1.349827,2.577163,35.1077,115.0000
44,6,1.431173,2.488038,62.1864,115.0000
44,7,1.381178,2.495765,93.9064,115.0000
44,11,1.963495,-1.691921,25.0206,70.2557
44,12,1.963495,-1.872158,32.6742,87.7541
44,13,1.963495,-1.987512,37.3960,93.9771
44,14,1.963495,-1.987512,44.9935,110.0950
44,15,1.963495,-2.074867,55.2653,110.0950
45,5,2.135226,-2.920624,35.1077,115.0000
45,6,2.224351,-3.001970,62.1864,115.0000
45,7,2.309022,-3.048221,93.9064,115.0000
45,11,2.748894,-0.974560,25.0206,70.2557
45,12,2.748894,-0.974560,32.6741,87.7541
45,13,2.748894,-1.217689,37.3960,93.9771
45,14,2.748894,-1.289381,44.9935,110.0950
