tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
38,7,-1.756567,-0.641981,34.4563,109.6080
38,8,-1.638922,-0.717273,49.3603,116.9440
38,9,-1.673851,-0.758350,59.5413,116.9440
38,10,-1.612945,-0.701913,68.6872,116.9440
38,11,-1.646781,-0.649004,60.2304,110.0950
38,12,-1.638880,-0.684707,67.2072,110.0950
38,13,-1.625293,-0.684707,83.9403,110.0950
38,14,-1.616510,-0.739690,94.5649,110.0950
39,5,-1.006367,0.220969,6.0796,57.1481
39,6,-0.917242,0.139623,19.7377,83.2006
39,7,-1.017369,0.097218,34.4563,109.6080
39,8,-0.853524,0.068125,49.3603,116.9440
39,9,-0.863118,0.052384,59.5413,116.9440
39,10,-0.869675,0.042940,68.6872,116.9440
39,11,-0.921798,0.124248,60.2304,110.0950
39,12,-0.886095,0.068078,67.2072,110.0950
39,13,-0.886095,0.054492,77.7195,110.0950
39,14,-0.831112,0.124248,94.5649,110.0950
40,5,-0.220969,1.006367,35.1077,115.0000
40,6,-0.139623,0.917242,65.1258,115.0000
40,7,-0.097218,1.017369,96.8459,115.0000
40,11,-0.281415,1.135513,25.0206,70.2557
40,12,-0.371839,1.045034,32.6742,87.7541
40,13,-0.281415,0.979554,37.3960,104.6043
40,14,-0.249256,0.974307,44.9936,110.0950
40,15,-0.196815,0.921792,55.2653,110.0950
41,5,0.564430,1.791765,35.1077,115.0000
41,6,0.653554,1.710419,62.1864,115.0000
41,7,0.641981,1.756567,96.8459,115.0000
41,11,0.435280,1.942632,25.0206,70.2557
41,12,0.525760,1.942632,32.6741,87.7541
41,13,0.591243,1.690906,37.3960,104.6043
41,14,0.596492,1.820049,44.9935,110.0950
41,15,0.648998,1.657758,52.1487,110.0950
42,5,1.349827,2.577163,35.1077,115.0000
42,6,1.431173,2.488038,62.1864,115.0000
42,7,1.381178,2.495765,96.8459,115.0000
42,11,1.146464,2.706309,25.0206,70.2557
42,12,1.198956,2.615830,32.6741,87.7541
42,13,1.321540,2.550345,37.3960,104.6043
42,14,1.321540,2.545096,44.9935,110.0950
42,15,1.483831,2.492589,55.2653,110.0950
43,5,-2.926514,2.952823,35.1077,115.0000
43,6,-3.004367,3.011638,65.1258,115.0000
43,7,-3.049303,3.054011,96.8459,115.0000
43,11,-3.096746,3.096740,25.0206,70.2557
43,12,-3.096746,3.102281,32.6742,87.7541
43,13,-3.096746,3.103684,37.3960,93.9771
43,14,-3.100056,3.108762,44.9935,110.0950
43,15,-3.100056,3.108762,55.2653,110.0950
44,5,-2.952823,2.926514,35.1077,115.0000
44,6,-3.011638,3.004367,62.1864,115.0000
44,7,-3.054011,3.049303,96.8459,115.0000
44,11,-3.096746,3.096740,25.0206,70.2557
44,12,-3.097476,3.096740,32.6742,87.7541
44,13,-3.103690,3.096740,37.3960,104.6043
44,14,-3.108767,3.100050,44.9935,110.0950
44,15,-3.108767,3.100050,55.2653,110.0950
45,5,-2.577163,-1.349827,35.1077,115.0000
45,6,-2.488038,-1.431173,62.1864,115.0000
45,7,-2.495765,-1.381178,96.8459,115.0000
45,11,-2.706313,-1.146469,25.0206,70.2557
45,12,-2.615833,-1.198960,32.6741,87.7541
45,13,-2.550350,-1.294628,37.3960,104.6043
45,14,-2.545100,-1.469155,44.9935,110.0950
45,15,-2.492595,-1.483835,55.2653,110.0950
46,5,-1.791765,-0.564430,35.1077,115.0000
46,6,-1.710419,-0.653554,62.1864,115.0000
46,7,-1.756567,-0.641981,96.8459,115.0000
46,11,-1.995128,-0.435283,25.0206,70.2557
46,12,-1.942636,-0.525762,32.6741,87.7541
46,13,-1.846969,-0.591248,37.3960,93.9771
46,14,-1.820052,-0.596497,44.9935,110.0950
46,15,-1.657761,-0.605119,55.2653,110.0950
47,5,-1.006367,0.220969,35.1077,115.0000
47,6,-0.917242,0.139623,62.1864,115.0000
47,7,-1.017369,0.097218,96.8459,115.0000
47,11,-1.135516,0.424327,25.0206,70.2557
47,12,-1.045041,0.281422,32.6742,87.7541
47,13,-0.979545,0.281422,37.3960,93.9771
47,14,-0.974298,0.196808,44.9936,110.0950
47,15,-0.921798,0.196808,55.2653,110.0950
